COGS,COGS Local,Item Name,Bundle,Category,Sub-category,Contribution,Contribution %,Brand,Region,Reporting Week,Amazon store,Start date,End date,Parent ASIN,ASIN,FNSKU,MSKU,Currency code,Average sales price,Units sold,Units returned,Net units sold,Sales,Net sales,AWD Transportation Fee per unit,AWD Transportation Fee quantity,AWD Transportation Fee total,AWD outbound processing fee per unit,AWD outbound processing fee quantity,AWD outbound processing fee total,Base fulfillment fee per unit,Base fulfillment fee quantity,Base fulfillment fee total,Base monthly storage fee per unit,Base monthly storage fee quantity,Base monthly storage fee total,FBA Inventory Reimbursement per unit,FBA Inventory Reimbursement quantity,FBA Inventory Reimbursement total,FBA fulfillment fees per unit,FBA fulfillment fees quantity,FBA fulfillment fees total,Low-inventory-level fee per unit,Low-inventory-level fee quantity,Low-inventory-level fee total,Monthly inventory storage fee per unit,Monthly inventory storage fee quantity,Monthly inventory storage fee total,Referral Fee Refunds per unit,Referral Fee Refunds quantity,Referral Fee Refunds total,Referral fee per unit,Referral fee quantity,Referral fee total,Refund administration fee per unit,Refund administration fee quantity,Refund administration fee total,Storage utilization surcharge per unit,Storage utilization surcharge quantity,Storage utilization surcharge total,Sponsored Products charge per unit,Sponsored Products charge quantity,Sponsored Products charge total,Net proceeds total,Net proceeds per net unit sold,AWD Storage Fee per unit,AWD Storage Fee quantity,AWD Storage Fee total,FBA removal order fee per unit,FBA removal order fee quantity,FBA removal order fee total,Inbound Transportation Fee per unit,Inbound Transportation Fee quantity,Inbound Transportation Fee total,FBA inbound placement service fee per unit,FBA inbound placement service fee quantity,FBA inbound placement service fee total,Aged inventory surcharge per unit,Aged inventory surcharge quantity,Aged inventory surcharge total
1.58,1.58,KITTY KA-ZOOM ZOOMIE Crab - Refillable Catnip Toy + Catnip | High Potency Hand Harvested Fresh | Soft Plush for Engaging Play,0,Cat Toys,Plushes,-1201.2188,-3.933794605,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTMFWSGT,B0CYK66K6L,,,USD,6.441388,582,15,567,3748.888,3662.128,,,,,,,3.275122,531,1739.09,0.064422,254.46,16.3927,-1.715,4,-6.86,3.354444,531,1781.21,0.36,117,42.12,0.064422,254.46,16.3927,-0.888,15,-13.32,0.947096,582,551.21,0.177333,15,2.66,0,12.64,0,0.70725,1760,1244.76,-305.3588,-0.538552,,,,,,,0.306614,732,224.4411,0.169561,956,162.1,,,
1.32,1.32,KITTY KA-ZOOM Catnip Spray - 1oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,-315.1081,-10.06474682,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ1X9H8C,B0CZ1PLPQ9,,,USD,5.034725,218,3,215,1097.57,1084.25,,,,,,,3.118889,216,673.68,0.005409,516.21,2.792,-0.186667,3,-0.56,3.118889,216,673.68,,,,0.005409,516.21,2.792,-0.75,3,-2.25,0.75,218,163.5,0.15,3,0.45,0,419.48,0,,,,-31.3081,-0.145619,,,,,,,0.82506,336,277.22,,,,0.002461,295,0.7261
1.79,1.79,KITTY KA-ZOOM Catnip Spray - 4oz. Bottle | High Potency Catnip Spray Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Sprays,-54.0772,-0.2543220049,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ1X9H8C,B0CZ1R2GGG,,,USD,6.819281,153,4,149,1043.35,1016.38,,,,,,,3.3588,150,503.82,0.018299,442.12,8.0903,,,,3.3588,150,503.82,,,,0.018299,442.12,8.0903,-1.05,4,-4.2,1.05,153,160.65,0.21,4,0.84,0,403.81,0,,,,212.6328,1.427066,,,,1.04,34,35.36,0.250826,336,84.2775,,,,0.010485,308,3.2294
1.12,1.12,KITTY KA-ZOOM Catnip Craze - Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-30.2344,-1.125026047,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ2C8YFX,B0CZ2DX1NW,,,USD,5.99,3,0,3,17.97,17.97,,,,,,,3.52,2,7.04,0.106372,241.04,25.64,,,,3.52,2,7.04,,,,0.106372,241.04,25.64,,,,0.9,3,2.7,,,,0,241.04,0,,,,-26.8744,-8.958133,,,,,,,,,,,,,0.053171,178,9.4644
1.73,1.73,KITTY KA-ZOOM Super ZOOMIES Mix - 7 Ingredient Catnip Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Cat Jars,Jars,140.6291,0.6144789523,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ2C8YFX,B0CZ2DYMFN,,,USD,12.248269,52,1,51,636.91,624.92,,,,,,,4.338462,52,225.6,0.083627,139.63,11.6769,,,,4.338462,52,225.6,,,,0.083627,139.63,11.6769,-1.8,1,-1.8,1.796538,52,93.42,0.36,1,0.36,0,39.1,0,,,,228.8591,4.487433,,,,,,,0.318674,178,56.724,0.18,56,10.08,,,
1.16,1.16,KITTY KA-ZOOM Silverine Surge - Catnip & Silvervine Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-116.0079,-1.369828512,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ2C8YFX,B0CZ2F4G84,,,USD,6.222143,28,1,27,174.22,168.23,,,,,,,3.984074,27,107.57,0.123758,925.9,114.5879,,,,3.984074,27,107.57,,,,0.123758,925.9,114.5879,-0.9,1,-0.9,0.9,28,25.2,0.18,1,0.18,0,921.83,0,0.75,8,6,-84.6879,-3.136589,,,,,,,,,,0,241,0,,,
1.14,1.14,KITTY KA-ZOOM Zoom Sticks - Silvervine Sticks Covered in Silvervine Fruit | Dental Support Chew for Cats | High Potency Natural Chew Stick for Indoor Cats,0,Clamshells,Silvervine Sticks,200.8882,0.6619308428,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ2TDMWV,B0CZ2TDMWV,,,USD,7.032717,92,2,90,647.01,633.03,0.019167,108,2.07,0.1125,108,12.15,2.4325,92,223.79,0.005397,333.87,1.8018,-2.1325,4,-8.53,2.4325,92,223.79,,,,0.005397,333.87,1.8018,-1.05,2,-2.1,1.048925,93,97.55,0.21,2,0.42,,0,0,,,,303.4882,3.372091,0.000234,10224,2.39,,,,,,,,,,,,
1.14,1.14,KITTY KA-ZOOM Valerian Root Roar - Catnip & Valerian Root Mix | Hand Harvested Fresh Catnip Grown in Canada and The USA,0,Blends,PIll Bottles,-31.8676,-2.551939524,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ2C8YFX,B0CZ2VWSD3,,,USD,5.954706,17,0,17,101.23,101.23,,,,,,,3.528235,17,59.98,0.09185,194.76,17.8887,,,,3.528235,17,59.98,,,,0.09185,194.76,17.8887,,,,0.9,17,15.3,,,,0,170.32,0,,,,-12.4876,-0.734565,,,,,,,0.581204,24,13.9489,0.18,24,4.32,0.033529,68,2.28
1.54,1.54,KITTY KA-ZOOM Catnip Bubbles - 5oz. Bottle with Built-in Wand | High Potency Catnip Bubbles Made from Steam-Distilled Natural Plants | Hand Harvest Grown in Canada and The USA,0,Oils,Bubbles,-2411.1477,-3.505147279,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0CZ7KB218,B0CZ7KB218,,,USD,6.0783,1147,28,1119,6971.81,6805.19,,,,,,,3.351338,1121,3756.85,0.035243,421.7,14.8621,-1.096296,27,-29.6,3.662614,1121,4105.79,0.75365,463,348.94,0.035243,421.7,14.8621,-0.9,26,-23.4,0.900446,1144,1030.11,0.18,27,4.86,0,26.32,0,0.620462,2878,1785.69,-687.8877,-0.614734,,,,,,,0.310062,1536,476.2556,0.105758,1174,124.16,,,
0.95,0.95,"KITTY KA-ZOOM Crunchy Natural Chicken with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-200.8604,-1.081869909,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0D46S8LHL,B0D4312MXF,,,USD,4.951176,17,1,16,84.17,79.28,,,,,,,3.051176,17,51.87,0.030194,204.96,6.1885,-0.336667,3,-1.01,3.051176,17,51.87,,,,0.030194,204.96,6.1885,-0.73,1,-0.73,0.73,17,12.41,0.15,1,0.15,0,162.6,0,0.571888,143,81.78,-185.6604,-11.603775,,,,1.04,72,74.88,0.248047,40,9.9219,0.18,40,7.2,0.115191,131,15.09
0.95,0.95,"KITTY KA-ZOOM Crunchy Natural Seafood with Catnip Treats for Cats, 2.75 OZ | Low Calorie Carefully Crafted Treats for Indoor and Outdoor Felines | Hand Harvested Catnip",0,Cat Treats,Crunchy,-282.7492,-1.095718181,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0D46S8LHL,B0D4379H26,,,USD,4.8925,28,2,26,136.99,127.21,,,,,,,3.303333,27,89.19,0.032406,211.7,6.8604,,,,3.303333,27,89.19,,,,0.032406,211.7,6.8604,-0.73,2,-1.46,0.73,28,20.44,0.15,2,0.3,0,162.28,0,0.57058,138,78.74,-258.0492,-9.924969,,,,1.04,158,164.32,0.381017,48,18.2888,0,56,0,0.048981,108,5.29
2.78,2.78,KITTY KA-ZOOM Shark Toy and Seafood Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-141.2684,-1.380269745,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTLQHHBQ,B0DHWG175S,,,USD,10.78,14,0,14,150.92,150.92,,,,,,,5.638667,15,84.58,0.219418,451.55,99.0784,,,,5.638667,15,84.58,,,,0.219418,451.55,99.0784,,,,1.62,14,22.68,,,,0,450.62,0,0.586625,80,46.93,-102.3484,-7.3106,,,,,,,,,,,,,,,
2.18,2.18,KITTY KA-ZOOM Snake Toy and Chicken Treat Bundle for Cats | High Potency Hand Harvested Fresh Catnip | Soft Plush for Engaging Play | Low Calorie Carefully Crafted Treats,1,Cat Toys,Plushes,-96.3441,-1,Kitty Ka-Zoom,US,2025-W36,US,9/1/2025,12/31/2025,B0DTLQHHBQ,B0DHWGQYSC,,,USD,0,0,0,0,0,0,,,,,,,,,,0.187202,456,85.3641,,,,,,,,,,0.187202,456,85.3641,,,,,,,,,,0,456,0,0.61,18,10.98,-96.3441,,,,,,,,,,,,,,,,
